mobile_name,price,ram,battery

"Redmi 8 (Onyx Black, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery
"Redmi 8 (Sapphire Blue, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery
"Realme 6 Pro (Lightning Blue, 64 GB)","17,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4300 mAh Battery
"Realme C3 (Blazing Red, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery
"Realme C3 (Frozen Blue, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery
"Realme C3 (Blazing Red, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery
"Realme C3 (Frozen Blue, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery
"OPPO A12 (Black, 32 GB)","9,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4230 mAh Battery
"OPPO A12 (Blue, 32 GB)","9,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4230 mAh Battery
"Realme Narzo 10A (So White, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Battery
"Realme Narzo 10A (So Blue, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Battery
"Redmi Note 8 Pro (Halo White, 128 GB)","16,999",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,4500 mAh Li-polymer Battery
"Realme 6 (Comet White, 64 GB)","13,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4300 mAh Battery
"Vivo U10 (Electric Blue, 32 GB)","9,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Li-ion Battery
"Realme C2 (Diamond Black, 32 GB)","6,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4000 mAh Battery
"Realme C2 (Diamond Ruby, 32 GB)","7,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4000 mAh Battery
"Motorola G8 Power Lite (Arctic Blue, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Battery
"Realme C2 (Diamond Blue, 32 GB)","6,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4000 mAh Battery
"OPPO A31 (Fantasy White, 128 GB)","14,990",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4230 mAh Battery
"OPPO A31 (Fantasy White, 64 GB)","12,490",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4230 mAh Battery
"OPPO A31 (Mystery Black, 128 GB)","14,990",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4230 mAh Battery
"OPPO A31 (Mystery Black, 64 GB)","12,490",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4230 mAh Battery
"Vivo Z1Pro (Sonic Blue, 64 GB)","13,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery
"Vivo Z1Pro (Sonic Blue, 128 GB)","16,990",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Battery
